Employee_Id,checkInDate,check_in,check_out
38,08/03/2023,14:11:20,21:10:47
38,08/04/2023,11:40:15,21:05:54
38,08/05/2023,11:33:34,-
38,08/07/2023,11:43:41,21:22:18
38,08/08/2023,11:51:22,21:36:41
38,08/09/2023,11:46:14,21:29:29
38,08/10/2023,11:46:49,21:11:51
38,08/11/2023,11:49:29,21:04:53
38,08/12/2023,11:44:35,22:20:42
38,8/15/2023,11:41:31,21:29:36
38,8/16/2023,12:32:55,21:15:26
38,8/17/2023,11:46:33,21:12:11
38,8/18/2023,11:43:57,21:12:47
38,8/19/2023,11:46:42,21:29:37
38,8/21/2023,11:47:37,21:15:20
38,8/22/2023,12:35:46,21:31:13
39,08/01/2023,11:26:10,-
39,08/02/2023,11:11:27,21:03:25
39,08/03/2023,11:20:41,21:10:26
39,08/04/2023,10:59:29,21:05:56
39,08/05/2023,11:28:22,20:57:26
39,08/07/2023,11:28:57,21:22:20
39,08/08/2023,11:29:20,21:36:51
39,08/09/2023,11:26:27,-
39,08/10/2023,11:12:33,21:11:38
39,08/11/2023,11:23:58,18:25:00
39,08/12/2023,11:29:42,19:05:11
39,8/15/2023,11:13:42,21:29:45
39,8/16/2023,11:27:22,-
39,8/17/2023,11:30:28,21:25:32
39,8/18/2023,11:29:16,11:14:51
39,8/19/2023,11:14:54,21:48:06
39,8/21/2023,11:15:49,21:15:23
39,8/22/2023,11:34:36,21:31:17
40,08/01/2023,11:23:39,20:32:58
40,08/02/2023,11:17:29,20:36:06
40,08/03/2023,11:08:53,20:36:43
40,08/04/2023,11:08:53,20:34:08
40,08/05/2023,-,20:40:17
40,08/07/2023,11:35:11,21:05:02
40,08/08/2023,11:30:51,20:40:42
40,08/09/2023,11:19:48,20:24:29
40,08/10/2023,11:33:50,20:32:59
40,08/11/2023,11:22:47,20:31:10
40,08/12/2023,11:16:44,20:33:21
40,8/15/2023,11:51:45,20:51:13
40,8/16/2023,11:35:23,20:32:33
40,8/17/2023,11:16:41,20:33:20
40,8/18/2023,11:38:28,20:32:42
40,8/19/2023,11:52:20,20:40:32
40,8/21/2023,11:31:24,20:22:05
